n_int_features,n_float_features,n_string_features,n_datetime_features,n_unkown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
0,0,0,0,0,2,7,1,0,csv,1,0,0,utf-8,0,0,1,9,9,81,0.5944684207437615,0.033735104571984434,0.9857299670691547,43.46913580246913,0.0,0.0,0.0,0.0,0.0,0.49747028764559104,0.0,0.4968243090141943,0,0.7831912962235161,911,paultimothymooney_lord-of-the-rings-data
1,0,0,0,0,2,2,1,1,csv,1,0,0,utf-8,0,0,1,4,4,16,0.9865884325230512,0.025313807531380753,0.0016736401673640166,0.25,0.0,0.0,0.0,0.0,0.0,0.796309795068401,0.0,0.7959766110537285,0,0.07200000000000001,2390,paultimothymooney_lord-of-the-rings-data
4,0,0,0,0,2,5,1,3,csv,1,0,0,utf-8,0,0,0,7,7,49,0.735,0.10250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.4825749999999997,0,2.73,200,surajjha101_fide-chess-rankings-updated
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.7982346181970125,0.00031338138514572234,0.0,0.0,588.9995873391678,0.3375783568255197,-0.9748980368550239,19.82069735117873,0.8,0.0,0.018863200000000004,0.0,0,5.369,3191,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.8922490337407291,0.00031338138514572234,0.0,0.0,1689.8606620005685,0.07436888719747047,-1.2067919547972772,39.12737425909095,0.8,0.0,0.028888999999999998,0.0,0,6.699,3191,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.8867126292698213,0.00031338138514572234,0.0,0.0,5961.342530083374,1.0271780771290682,0.31484996530054954,21.63320400620213,0.8,0.0,0.029075799999999995,0.0,0,0.14700000000000002,3191,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.7893416927899687,0.00031347962382445143,0.0,0.0,269.751302957583,0.4330875599156926,-0.6138882754217333,12.577690481185469,0.8,0.0,0.022838,0.0,0,0.301,3190,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.8713047111668232,0.00031338138514572234,0.0,0.0,2766.968796049364,0.49154070188273274,-0.8622090050836487,20.75127225655236,0.8,0.0,0.031740199999999996,0.0,0,5.88,3191,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.8824451410658307,0.00031347962382445143,0.0,0.0,424.41060519490463,0.5071757112803422,-0.5121541844313172,13.069267256026261,0.8,0.0,0.0291568,0.0,0,3.192,3190,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.648974358974359,0.0003846153846153846,0.0,0.0,31.399629283925965,0.22440788705071305,-0.9994718441383611,4.551462642684775,0.8,0.0,0.034852,0.0,0,1.099,2600,psycon_game-companies-historical-stock-price-2022-04
1,4,0,1,0,1,6,1,2,csv,1,0,0,utf-8,0,0,0,7,7,49,0.5281377032520326,0.00038109756097560977,0.0,0.0,6.210566058489765,0.8465188924777518,0.05606479371785689,0.9937732802846291,0.8,0.0,0.023168,0.0,0,2.1069999999999998,2624,psycon_game-companies-historical-stock-price-2022-04
3,2,0,0,0,2,5,1,0,csv,1,0,0,utf-8,0,0,0,7,7,49,0.6057233704292528,0.03577106518282989,0.0,0.0,8.714375406883984e13,6.148816871988443,113.1876620704412,0.0,0.4,0.8906387654045953,0.15641208183799998,0.889222805523189,0,0.3783783783783784,629,rankirsh_esports-earnings
2,1,0,1,0,4,1,1,1,csv,1,0,0,utf-8,0,0,0,5,5,25,0.6883617667679365,0.04396471138116382,0.0,0.0,3.554535157695055e11,7.833169273099192,241.08565688680744,2885.1241639412497,0.3333333333333333,0.9410710842101069,0.021535954413333332,0.9409611203068292,0,0.15500000000000003,8558,rankirsh_esports-earnings
9,0,0,0,0,5,8,1,1,csv,1,0,0,utf-8,0,0,0,13,13,169,0.4698795180722892,0.03132530120481928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7984907371421168,0.0,0.7952839470331122,0,5.847389558232932,249,rtatman_digidb
2,0,0,0,0,5,2,1,1,csv,1,0,0,utf-8,0,0,0,7,7,49,1.0,0.0351421188630491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7487595560375413,0.0,0.7468247768229741,0,0.144702842377261,387,rtatman_digidb
0,0,0,0,0,0,2,1,1,csv,1,0,0,utf-8,0,0,0,2,2,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,86,rtatman_digidb
42,0,0,1,0,14,57,1,1,csv,1,0,0,utf-8,0,0,1,71,71,5041,0.6857428004064318,0.11306231835635606,0.14285714285714285,0.06585994842293195,0.0,0.0,0.0,0.0,0.0,0.6498625796800043,0.0,0.6388460614036295,0,76.67465339712562,63,sophiahealy_genshin-impact-character-data
5,0,0,0,0,7,0,1,1,csv,1,0,0,utf-8,0,0,1,7,7,49,0.0,0.09995462930588037,0.6886160714285714,38.55102040816327,0.0,0.0,0.0,0.0,0.0,0.9172589428022746,0.0,0.9155797825749022,0,0.2734375,896,ramjasmaurya_commonwealth-games-2022
1,0,0,0,0,4,1,1,1,csv,1,0,0,utf-8,0,0,1,5,5,25,0.9991175821751599,0.008990410423589761,0.00022060445621001543,0.04,0.0,0.0,0.0,0.0,0.0,0.8311612731509982,0.0,0.83097790372852,0,0.32,4533,ramjasmaurya_commonwealth-games-2022
0,0,0,0,0,6,1,1,1,csv,1,0,0,utf-8,0,0,0,7,7,49,0.7958921694480102,0.03594351732991014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837936476920797,0.0,0.7832905708963854,0,2.044,1558,ramjasmaurya_commonwealth-games-2022
0,0,0,0,0,0,4,1,0,csv,1,0,0,utf-8,0,0,0,4,4,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,16,ramjasmaurya_commonwealth-games-2022
