n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,0,148,148,21904,0.9998662028364999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10776.15841584159,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.5346534653465347,0.04547114682249818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10747.029369119278,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.8613861386138614,0.1767713659605552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3300.9814761476155,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,1,147,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,1.0,0.9108910891089109,0.22909057706355007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8888888888888888,0,9252.240070028187,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,0.9987289269467492,0.0,0.6138613861386139,0.07199598246895547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,307.4867732403217,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.6435643564356436,0.07359386413440468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5177.131451844108,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.6831683168316832,0.21050949598246893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.619369295827433,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.6237623762376238,0.058665084002921836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10779.705229202706,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,1,147,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,1.0,0.900990099009901,0.2326515704894084,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8999999999999999,0,9943.217132579131,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,0,148,148,21904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3478.732673267329,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,0,148,148,21904,0.9983275354562482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6851.96039603961,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.039603960396039604,0.0004108838568298028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6293.895950997171,101,ruchi798_coronavirus-top-cities-and-trending-searches
