n_int_features,n_float_features,n_string_features,n_datetime_features,n_unkown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
0,0,0,0,0,1,1,1,0,csv,1,0,0,utf-8,1,0,0,2,2,4,0.964878805669714,0.00012580726327266628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333416350141016,0.0,0.833324161609023,0,0.041999999999999996,47692,andrewmvd_cyberbullying-classification
1,0,0,0,0,6,6,1,0,csv,1,0,0,utf-8,0,0,1,12,12,144,0.8157359399404113,0.03128221845226485,0.3945724991484047,29.909722222222218,0.0,0.0,0.0,0.0,0.0,0.8188302645035438,0.0,0.8187355947021459,0,19.5,8807,shivamb_netflix-shows
1,0,0,0,0,0,4,1,0,csv,1,0,0,utf-8,0,0,0,4,4,16,0.9962523422860712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.616,4803,tmdb_tmdb-movie-metadata
5,2,0,1,0,7,13,1,0,csv,1,0,0,utf-8,0,0,1,20,20,400,0.8138914775665034,0.05104146177868457,0.6891526129502394,9.855,144.7878912054987,1.1084688072403501,28.51110904539292,1.4971873530898105,0.2857142857142857,0.5989688126336196,0.008313349057142858,0.598844093230043,0,14.979999999999999,4803,tmdb_tmdb-movie-metadata
3,1,0,0,0,4,3,1,0,csv,1,0,0,utf-8,0,0,0,7,7,49,0.5727272727272728,0.030454545454545453,0.0,0.0,0.012856603305785065,-0.3745064211525982,0.855765632935301,0.02508371647509586,0.25,0.7998973339956946,0.0055,0.7984429752066114,0,2.9400000000000004,550,sootersaalu_amazon-top-50-bestselling-books-2009-2019
11,0,0,0,0,1,13,1,1,csv,1,0,0,latin1,0,0,0,14,14,196,0.6646153846153846,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8481632653061224,0.0,0.8311999999999999,0,3.6400000000000006,50,leonardopena_top50spotify2019
7,0,0,0,0,16,9,1,9,csv,1,0,0,utf-8,0,0,1,25,25,625,0.7455415942258048,0.4210430355167198,1.0,0.47999999999999976,0.0,0.0,0.0,0.0,0.0,0.5405595749442498,0.0,0.46861774386053273,0,28.48125381020118,38,mylesoneill_game-of-thrones
11,0,0,0,0,11,2,1,0,csv,1,0,0,utf-8,0,0,1,13,13,169,0.6181832454615823,0.014734715839026242,0.7589967284623773,12.461538461538462,0.0,0.0,0.0,0.0,0.0,0.5647146661406616,0.0,0.563789253954053,0,1.0927947598253276,917,mylesoneill_game-of-thrones
22,3,0,0,0,22,11,1,1,csv,1,0,0,utf-8,0,0,1,33,33,1089,0.6350020610168942,0.037203054935125,1.0,20.302112029384755,0.00884611322448967,0.1478636040585275,0.5377692628868834,0.01893485714285712,0.12,0.468426184287498,0.013479674238026323,0.465550108609432,0,39.72415462344275,1946,mylesoneill_game-of-thrones
8,0,0,0,0,8,3,1,4,csv,1,0,0,utf-8,0,0,1,11,11,121,1.0,0.0027059260763419393,0.4389910667367315,34.578512396694215,0.0,0.0,0.0,0.0,0.0,0.497946533015342,0.0,0.497886769579273,0,0.41800000000000004,9515,ruchi798_movies-on-netflix-prime-video-hulu-and-disney
0,0,0,0,0,0,0,1,0,"",0,0,0,utf-8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,google_google-landmarks-dataset
0,0,0,0,0,0,0,1,0,"",0,0,0,utf-8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,google_google-landmarks-dataset
0,0,0,0,0,0,0,1,0,"",0,0,0,utf-8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,google_google-landmarks-dataset
0,0,0,0,0,0,0,1,0,"",0,0,0,utf-8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,google_google-landmarks-dataset
0,0,0,0,0,0,0,1,0,"",0,0,0,utf-8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,google_google-landmarks-dataset
0,0,0,0,0,0,0,1,0,"",0,0,0,utf-8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,google_google-landmarks-dataset
0,0,0,0,0,0,0,1,0,"",0,0,0,utf-8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,google_google-landmarks-dataset
5,0,0,0,0,1,4,1,1,csv,1,0,0,utf-8,0,0,0,5,5,25,0.8122209821428571,0.14508928571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897221667996807,0.0,0.9886175661670898,0,0.6417410714285714,896,surajjha101_stores-area-and-sales-data
1,0,0,0,0,2,3,1,0,csv,1,0,0,utf-8,0,0,1,5,5,25,0.6982349720191733,0.035288749501934426,0.12567961851390086,391.12,0.0,0.0,0.0,0.0,0.0,0.5548770244327454,0.0,0.5548698924289547,0,7.544999999999999,77801,victorsoeiro_netflix-tv-shows-and-movies
4,3,0,0,0,8,7,1,0,csv,1,0,0,utf-8,0,0,1,15,15,225,0.8371005185129787,0.028086410447598138,0.7150427350427351,36.29777777777779,953.318675661593,1.969343047371466,44.59348717611224,0.897047914635913,0.42857142857142855,0.8290572351028692,0.010707311128044858,0.8288744551963684,0,30.555,5850,victorsoeiro_netflix-tv-shows-and-movies
1,0,0,0,0,1,5,1,3,csv,1,0,0,utf-8,0,0,1,6,6,36,0.9851851851851852,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,27,johnharshith_hollywood-theatrical-market-synopsis-1995-to-2021
1,0,0,0,0,3,5,1,1,csv,1,0,0,utf-8,0,0,1,8,8,64,1.0,0.17746913580246915,0.1111111111111111,0.046875,0.0,0.0,0.0,0.0,0.0,0.595906106775672,0.0,0.5730024005486969,0,0.0,27,johnharshith_hollywood-theatrical-market-synopsis-1995-to-2021
1,0,0,0,0,6,0,1,1,csv,1,0,0,utf-8,0,1,1,6,6,36,0.0,1.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.888888888888889,0,0.0,10,johnharshith_hollywood-theatrical-market-synopsis-1995-to-2021
