,n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,num_pii_entities,proxy,n_bytes_total,since_last_update
72,3,2,0,0,0,2,5,1,0,0,0,0,7,7,49,0.6057233704292528,0.03577106518282989,0.0,0.0,87143754068839.84,6.148816871988443,113.1876620704412,0.0,0.4,0.8906387654045953,0.15641208183799998,0.889222805523189,0.3783783783783784,35.17375657956989,99535,5994722.24327302
73,2,1,0,1,0,4,1,1,1,0,0,0,5,5,25,0.6883617667679365,0.04396471138116382,0.0,0.0,355453515769.5055,7.833169273099192,241.08565688680744,2885.1241639412497,0.3333333333333333,0.9410710842101069,0.021535954413333332,0.9409611203068292,0.15500000000000003,35.17375657956989,99535,5994722.24327302
74,9,0,0,0,0,5,8,1,1,0,0,0,13,13,169,0.4698795180722892,0.03132530120481928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7984907371421168,0.0,0.7952839470331122,5.847389558232932,29.027052896513585,14671,181450178.24327302
75,2,0,0,0,0,5,2,1,1,0,0,0,7,7,49,1.0,0.0351421188630491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7487595560375413,0.0,0.7468247768229741,0.144702842377261,29.027052896513585,14671,181450178.24327302
76,0,0,0,0,0,0,2,1,1,0,0,0,2,2,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.027052896513585,14671,181450178.24327302
77,42,0,0,1,0,14,57,1,1,0,0,1,71,71,5041,0.6857428004064318,0.11306231835635606,0.14285714285714285,0.06585994842293195,0.0,0.0,0.0,0.0,0.0,0.6498625796800043,0.0,0.6388460614036295,76.67465339712562,35.14018422433502,14494,15492885.24327302
78,5,0,0,0,0,7,0,1,1,0,0,1,7,7,49,0.0,0.09995462930588037,0.6886160714285714,38.55102040816327,0.0,0.0,0.0,0.0,0.0,0.9172589428022746,0.0,0.9155797825749022,0.2734375,35.133469753288054,90921,14582292.24327302
79,1,0,0,0,0,4,1,1,1,0,0,1,5,5,25,0.9991175821751599,0.008990410423589761,0.00022060445621001543,0.04,0.0,0.0,0.0,0.0,0.0,0.8311612731509982,0.0,0.83097790372852,0.32,35.133469753288054,90921,14582292.24327302
80,0,0,0,0,0,6,1,1,1,0,0,0,7,7,49,0.7958921694480102,0.03594351732991014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837936476920797,0.0,0.7832905708963854,2.044,35.133469753288054,90921,14582292.24327302
81,0,0,0,0,0,0,4,1,0,0,0,0,4,4,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,35.133469753288054,90921,14582292.24327302
82,0,2,0,0,0,0,4,1,0,0,0,0,4,4,16,0.9861111111111112,0.0,0.0,0.0,7.3430664549415114,0.01891669280981878,4.456253105789245,0.0540746046361121,1.0,0.0,0.39967263195,0.0,1.7777777777777777,35.133469753288054,90921,14582292.24327302
83,5,0,0,0,0,0,6,1,2,0,0,0,6,6,36,0.562015503875969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27906976744186046,35.133469753288054,90921,14582292.244277239
84,2,0,0,0,0,4,1,1,1,0,0,0,5,5,25,1.0,0.0026278149219971397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569133431385679,0.0,0.5691271209328328,4.505,22.86692166005023,501496,117650772.24427724
85,1,1,0,0,0,5,11,1,1,0,0,1,16,16,256,0.8142572062084258,0.07379094156565383,0.262,1.359375,0.038247979999999425,0.53151374795674,0.7619816813560831,0.10017858094690642,0.5,0.9358203728743577,0.0175,0.9348456688023784,30.112000000000005,35.12004081119411,363090,24949021.24427724
86,0,1,0,0,0,4,9,1,1,0,0,1,13,13,169,0.9010270664184787,0.08657724604712556,0.551,3.9644970414201177,0.12414095867768543,0.4369326649053775,-0.31647677338209634,0.29940432786885196,1.0,0.8903064515021611,0.049,0.8891847352653038,19.921951754632115,35.12004081119411,363090,24949021.24427724
87,3,1,0,0,0,2,14,1,2,0,0,1,16,16,256,0.7559780747418576,0.048,0.216,0.265625,0.013712360000000005,0.41518126272278255,0.8507834202969988,0.024896336206896526,0.25,0.7900401606425702,0.00575,0.7868799999999999,33.408,35.12004081119411,363090,24949021.24427724
88,1,1,0,0,0,2,11,1,1,0,0,1,13,13,169,0.8234457478005864,0.05,0.008,0.01183431952662722,0.041617919999999954,0.21097635910955165,0.21379586856152932,0.09987563352826502,0.5,0.7536546184738956,0.025,0.75064,22.100000000000005,35.12004081119411,363090,24949021.24427724
89,2,1,0,0,0,3,10,1,1,0,0,1,13,13,169,0.8428992333477453,0.07092139988525531,0.4,1.136094674556213,0.02027644715407812,0.2648585121807185,0.005123911237419065,0.06659587636932733,0.3333333333333333,0.8210373160521462,0.02266666666666667,0.817590134124455,36.49746779602175,35.12004081119411,363090,24949021.24427724
90,3,0,0,0,0,4,8,1,1,0,0,1,12,12,144,0.64075,0.0326782025240239,5.882352941176471e-05,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.942408074039959,0.0,0.9423526374078766,9.059999999999999,35.11332634014713,608164,5932148.244277239
91,8,1,0,0,0,2,7,1,1,0,0,0,9,9,81,0.9915966386554622,0.11764705882352941,0.0,0.0,0.2772225390234524,-0.029498643158700592,-0.060653064227871166,0.13845999999999983,0.1111111111111111,0.8990196078431373,0.013722222222222222,0.8884429065743944,23.717647058823527,35.11332634014713,608164,5932148.244277239
